fid,id_ecop,id_via,propriedad,vidrao,papelao,embalao,lixo_geral,oleao,pilhao,dep_roupa,lugar,ano_instal,ano_subs,ano_reforc
68,78,3751,ERSUC,sim,sim,sim,,,,,Póvoa da Carvalha,,,
69,79,345,ERSUC,sim,sim,sim,,,,,Póvoa da Igreja,,,
70,80,3842,ERSUC,sim,sim,sim,,,,,Póvoa da Marta,,,
71,81,3845,ERSUC,sim,sim,sim,,,,,Póvoa da Marta,,,
72,82,2099,ERSUC,sim,,,,,,,Corga,,,
73,83,3742,ERSUC,sim,sim,sim,,,,,Recardães,,,
74,84,1588,Vários,sim,sim,sim,,,sim,,Além da Ponte,,,
75,85,1615,ERSUC,sim,sim,sim,,,,,Ameal,,,
76,86,1632,ERSUC,sim,sim,sim,,,,,Gravanço,,,
77,87,2938,ERSUC,sim,,,,,,,Vale Sobreirinhos,,,
78,88,1505,ERSUC,sim,sim,sim,,,,,Vale Domimgos,,,
79,89,1505,ERSUC,sim,sim,sim,,,,,Cavadas,,,
80,93,4382,ERSUC,sim,sim,sim,,,,,Préstimo,,,
81,94,1868,ERSUC,sim,,,,,,,Urgueira,,,
82,95,3128,ERSUC,sim,sim,sim,,,,,Fermentões,,,
83,96,1821,ERSUC,sim,sim,sim,,,,,Macieira de Alcôba,,,
84,97,2584,ERSUC,sim,sim,sim,,,,,Maçoida,,,
85,98,2562,ERSUC,sim,,,,,,,Maçoida,,,
86,99,2199,ERSUC,sim,sim,sim,,,,,Giesteira,,,
87,101,1591,ERSUC,sim,,,,,,,Catraia de Assequins,,,
88,102,1556,Vários,sim,sim,sim,,sim,,,Catraia de Assequins,,,
89,103,1100,ERSUC,sim,sim,sim,,,,,Assequins,,,
90,104,2672,ERSUC,sim,sim,sim,,,,,Vale do Agude,,,
91,105,2993,ERSUC,sim,,,,,,,Assequins,,,
92,1003,1145,CMA,sim,sim,sim,sim,,,,Águeda,,,
93,107,2046,ERSUC,sim,sim,sim,,,,sim,Águeda,,,
94,108,949,ERSUC,sim,sim,sim,,,,,Águeda,,,
95,109,115,ERSUC,sim,sim,sim,,,,,Águeda,,,
96,110,978,CMA,sim,sim,sim,sim,,,,Águeda,,,
97,111,65,Vários,sim,sim,sim,sim,sim,sim,sim,Águeda,,,
98,112,202,CMA,sim,sim,sim,,,,,Águeda,,,
